,latitude,longitude,temperature,humidity,clouds,wind
118,4,5,78.25280000000004,87,100,16.5086172
119,-13,-11,71.95279999999997,69,23,17.425762600000002
120,32,-106,85.72999999999996,27,1,16.105968
121,56,12,51.853999999999985,81,10,5.816044000000001
122,0,36,49.45279999999997,95,0,2.1027236
123,-90,-124,-60.70720000000006,96,100,7.739812400000001
124,-65,-78,29.47279999999995,86,100,27.1117128
125,61,-139,58.99999999999994,77,90,16.105968
126,74,-110,35.95279999999997,84,0,5.480503000000001
127,3,136,83.65280000000001,68,100,3.0422384000000005
128,41,41,55.932799999999986,63,0,1.3197946
129,74,148,32.71279999999996,96,100,7.493749000000001
130,43,4,72.68,78,0,4.697574
131,77,94,33.612799999999936,99,95,14.6295876
132,6,-180,84.55279999999999,72,44,7.493749000000001
133,-9,-106,75.19280000000009,78,17,21.698318
134,-53,85,27.492800000000045,71,100,32.927756800000004
135,8,-147,80.59280000000007,79,94,5.4581336
136,-20,67,72.31279999999998,74,16,23.644455800000003
137,31,32,78.80000000000001,78,0,5.816044000000001
138,40,139,68.53280000000001,83,0,9.193823400000001
139,-47,133,48.01279999999991,79,100,21.8772732
140,12,167,82.93279999999999,79,0,12.415017
141,-60,-148,31.812799999999925,96,100,28.6999402
142,-43,104,47.112799999999936,71,82,22.4365082
143,81,-36,26.77279999999996,72,70,12.1465842
144,46,35,74.2928,83,25,14.8309122
145,81,68,33.79280000000006,94,100,19.036359400000002
146,28,21,68.1728,75,0,8.6345884
147,86,-163,34.15280000000001,88,98,10.021491200000002
148,-77,171,-5.987200000000087,98,100,19.416639200000002
149,56,-144,52.15280000000001,93,100,17.8284118
150,58,48,56.112799999999936,91,65,6.487126
151,65,7,46.21279999999996,85,100,27.178821000000003
152,35,-81,79.23199999999991,65,1,3.35541
153,41,83,92.47279999999995,21,0,6.3976484000000005
154,-66,-135,29.652800000000013,98,100,8.5674802
155,41,49,55.39280000000002,61,0,5.346286600000001
156,-21,-64,58.45279999999997,80,100,2.1698318
157,-45,-135,43.33280000000002,77,100,11.4978716
158,3,-127,78.97279999999995,79,71,10.2675546
159,54,40,58.99999999999994,78,0,1.9908766000000002
160,50,64,58.81279999999998,83,100,18.3205386
161,-79,-108,-45.7672,96,3,10.782050800000002
162,-67,88,-6.52720000000005,59,100,17.045482800000002
163,-73,-90,25.872799999999984,97,100,7.471379600000001
164,7,173,84.19280000000009,66,0,1.677705
165,63,-38,47.83280000000002,94,89,20.132460000000002
166,-61,-125,30.372799999999984,89,100,27.7827948
167,-48,-146,47.47279999999995,81,43,24.7629258
168,-50,1,33.25279999999998,97,100,23.0181126
169,-82,-82,-30.46719999999999,92,100,14.1821996
170,-13,-177,82.39280000000002,80,0,14.2940466
171,55,24,53.599999999999966,81,40,14.987498000000002
172,-12,132,75.01279999999991,50,76,3.7580592
